Clips,GT
Clip_000.avi,Normal(low-light)
Clip_001.avi,Normal(low-light)
Clip_002.avi,Normal(low-light)
Clip_003.avi,Sleep(low-light)
Clip_004.avi,Sleep(low-light)
Clip_005.avi,Sleep(low-light)
Clip_006.avi,Normal
Clip_007.avi,Sleep
Clip_008.avi,Normal
Clip_009.avi,Normal
Clip_010.avi,Normal
Clip_011.avi,Sleep(low-light)
Clip_012.avi,Normal
Clip_013.avi,Normal
Clip_014.avi,Normal
Clip_015.avi,Normal
Clip_016.avi,Normal(low-light)
Clip_017.avi,Sleep
Clip_018.avi,Sleep(low-light)
Clip_019.avi,Sleep
Clip_020.avi,Normal(low-light)
Clip_021.avi,Normal
Clip_022.avi,Normal(low-light)
Clip_023.avi,Sleep(low-light)
Clip_024.avi,Normal
Clip_025.avi,Normal(low-light)
Clip_026.avi,Sleep
Clip_027.avi,Sleep
Clip_028.avi,Sleep(low-light)
Clip_029.avi,Normal(low-light)
Clip_030.avi,Normal
Clip_031.avi,Normal(low-light)
Clip_032.avi,Normal(low-light)
Clip_033.avi,Normal
Clip_034.avi,Sleep
Clip_035.avi,Sleep(low-light)
Clip_036.avi,Sleep(low-light)
Clip_037.avi,Sleep
Clip_038.avi,Normal
Clip_039.avi,Normal
Clip_040.avi,Sleep
Clip_041.avi,Normal
Clip_042.avi,Sleep(low-light)
Clip_043.avi,Sleep
Clip_044.avi,Normal(low-light)
Clip_045.avi,Normal(low-light)
Clip_046.avi,Sleep
Clip_047.avi,Normal(low-light)
Clip_048.avi,Sleep(low-light)
Clip_049.avi,Sleep(low-light)
Clip_050.avi,Normal
Clip_051.avi,Sleep
Clip_052.avi,Normal
Clip_053.avi,Normal(low-light)
Clip_054.avi,Sleep
Clip_055.avi,Normal(low-light)
Clip_056.avi,Sleep
Clip_057.avi,Sleep(low-light)
Clip_058.avi,Sleep
Clip_059.avi,Normal(low-light)
Clip_060.avi,Normal
Clip_061.avi,Sleep
Clip_062.avi,Sleep(low-light)
Clip_063.avi,Normal(low-light)
Clip_064.avi,Normal
Clip_065.avi,Sleep
Clip_066.avi,Sleep(low-light)
Clip_067.avi,Normal(low-light)
Clip_068.avi,Normal(low-light)
Clip_069.avi,Normal(low-light)
Clip_070.avi,Normal
Clip_071.avi,Sleep
Clip_072.avi,Sleep
Clip_073.avi,Normal(low-light)
Clip_074.avi,Sleep
Clip_075.avi,Normal
Clip_076.avi,Normal
Clip_077.avi,Sleep(low-light)
Clip_078.avi,Sleep(low-light)
Clip_079.avi,Normal
Clip_080.avi,Sleep(low-light)
Clip_081.avi,Normal
Clip_082.avi,Sleep
Clip_083.avi,Sleep
Clip_084.avi,Normal
Clip_085.avi,Normal(low-light)
Clip_086.avi,Normal
Clip_087.avi,Normal(low-light)
Clip_088.avi,Normal
Clip_089.avi,Sleep(low-light)
Clip_090.avi,Normal(low-light)
Clip_091.avi,Sleep
Clip_092.avi,Sleep(low-light)
Clip_093.avi,Sleep(low-light)
Clip_094.avi,Sleep
Clip_095.avi,Sleep(low-light)
Clip_096.avi,Normal(low-light)
Clip_097.avi,Sleep
Clip_098.avi,Sleep(low-light)
Clip_099.avi,Sleep(low-light)
Clip_100.avi,Normal
Clip_101.avi,Normal(low-light)
Clip_102.avi,Normal(low-light)
Clip_103.avi,Sleep
Clip_104.avi,Normal(low-light)
Clip_105.avi,Sleep(low-light)
Clip_106.avi,Sleep(low-light)
Clip_107.avi,Normal
Clip_108.avi,Normal
Clip_109.avi,Normal(low-light)
Clip_110.avi,Normal(low-light)
Clip_111.avi,Sleep
Clip_112.avi,Normal(low-light)
Clip_113.avi,Sleep
Clip_114.avi,Normal(low-light)
Clip_115.avi,Normal(low-light)
Clip_116.avi,Sleep
Clip_117.avi,Normal
Clip_118.avi,Sleep
Clip_119.avi,Sleep(low-light)
Clip_120.avi,Normal(low-light)
Clip_121.avi,Sleep(low-light)
Clip_122.avi,Sleep
Clip_123.avi,Normal
Clip_124.avi,Sleep(low-light)
Clip_125.avi,Sleep(low-light)
Clip_126.avi,Normal
Clip_127.avi,Sleep
Clip_128.avi,Normal
Clip_129.avi,Sleep
Clip_130.avi,Sleep
Clip_131.avi,Normal
Clip_132.avi,Normal
Clip_133.avi,Normal(low-light)
Clip_134.avi,Sleep
Clip_135.avi,Normal(low-light)
Clip_136.avi,Normal
Clip_137.avi,Normal
Clip_138.avi,Sleep(low-light)
Clip_139.avi,Sleep(low-light)
Clip_140.avi,Sleep(low-light)
Clip_141.avi,Normal
Clip_142.avi,Sleep(low-light)
Clip_143.avi,Normal
Clip_144.avi,Normal(low-light)
Clip_145.avi,Normal(low-light)
Clip_146.avi,Sleep
Clip_147.avi,Sleep(low-light)
Clip_148.avi,Normal(low-light)
Clip_149.avi,Normal(low-light)
